time,d1_comms,d2_comms,d3_comms,archive_size
17.889796495437622,0,0,0,510
17.921080589294434,0,0,0,510
17.95258617401123,0,0,0,510
17.983860969543457,0,0,0,510
18.015099048614502,0,0,0,510
18.0469012260437,0,0,0,510
18.0780770778656,0,0,0,510
18.1093533039093,0,0,0,510
18.141197443008423,0,0,0,510
18.172589540481567,0,0,0,510
18.203786373138428,0,0,0,510
18.235597133636475,0,0,0,510
18.26692223548889,0,0,0,510
18.29824948310852,0,0,0,510
18.329450130462646,0,0,0,510
18.361085414886475,0,0,0,510
18.39248538017273,0,0,0,510
18.4237539768219,0,0,0,510
18.455427408218384,0,0,0,510
18.486597299575806,0,0,0,510
18.5179705619812,0,0,0,510
18.55002236366272,0,0,0,510
18.581071138381958,0,0,0,510
18.612343311309814,0,0,0,510
18.643665313720703,0,0,0,510
18.675012350082397,0,0,0,510
18.70625901222229,0,0,0,510
18.737706661224365,0,0,0,510
18.769041061401367,0,0,0,510
18.80035138130188,0,0,0,510
18.83160090446472,0,0,0,510
18.863424062728882,0,0,0,510
18.894660234451294,0,0,0,510
18.92595624923706,0,0,0,510
18.95777678489685,0,0,0,510
18.989087343215942,0,0,0,510
19.020323514938354,0,0,0,510
19.0520076751709,0,0,0,510
19.083076000213623,0,0,0,510
19.114344120025635,1,0,0,510
19.146191596984863,1,0,0,510
19.177602291107178,1,0,0,561
19.208866834640503,0,0,0,561
19.24057912826538,0,0,0,561
19.271969079971313,0,0,0,561
19.303344249725342,0,0,0,561
19.3350191116333,0,0,0,561
19.366360425949097,0,0,0,561
19.397664546966553,0,0,0,561
19.42892575263977,0,0,0,561
19.460944414138794,0,0,0,561
19.492192268371582,0,0,0,561
19.52354097366333,0,0,0,561
19.555543422698975,0,0,0,561
19.586669206619263,0,0,0,561
19.61794686317444,0,0,0,561
19.649648666381836,0,0,0,561
19.682557106018066,0,0,0,561
19.71251893043518,0,0,0,561
19.744431018829346,0,0,0,561
19.775818824768066,0,0,0,561
19.807105779647827,0,0,0,561
19.838465452194214,0,0,0,561
19.869805335998535,0,0,0,561
19.901042699813843,0,0,0,561
19.932323694229126,0,0,0,561
19.96396517753601,0,0,0,561
